url,index,error_msg,analysis_raw
QnGUCpCf-1g,15,Expecting value: line 1 column 1 (char 0),"We need to produce JSON. Let's craft summary: ""이재명 대통령이 지방자치와 균형성장을 강조하며 5극3특 정책을 추진하자는 메시지"" or similar.

Emotional tone: high support, some frustration about infrastructure. So maybe 8.

Key entities: 이재명, 이재명 대통령, 잼통령, 잼통, 정당 (not specified). Also maybe ""정당"" but not named. So list: [""이재명"", ""이재명 대통령"", ""잼통령"", ""잼통""].

Context bridge: explain that the video promotes local governance and balanced growth, referencing 5극3특, and comments show strong support, some concerns about infrastructure, and calls for policy implementation.

Let's produce JSON.{""summary"":""이재명 대통령이 지방자치와 균형성장을 강조하며 5극3특 정책을 추진하자는 메시지를 전달한다."",""emotional_tone"":8,""key_entities"":[""이재명"",""이재명 대통령"",""잼통령"",""잼통""],""context_bridge"":""영상은 ‘5극3특’이라는 정책 프레임을 통해 지방자치 강화와 균형성장을 목표로 삼으며, 이를 통해 지역 발전과 국민 복지를 증진하려는 의지를 담고 있다. 댓글에서는 대다수가 이재명 대통령과 ‘잼통령’에 대한 지지와 격려를 표명하면서도, 지방 인프라 부실과 공공사업의 투명성 강화에 대한 요구가 함께 나타난다. 이러한 정치적 맥락과 감정적 반응은 영상이 제시하는 정책 방향과 국민의 기대·불만을 동시에 반영한다.""}"
tItNj5ySViU,82,Unterminated string starting at: line 1 column 332 (char 331),"{""summary"":""The video claims that the reason for the immediate arrest upon entering the United States has been revealed, implicating political corruption and national‑security concerns involving Korean officials."",""emotional_tone"":8,""key_entities"":[""배승희 변호사"",""이진숙"",""최민희"",""이재명"",""윤석열"",""국민의힘"",""민주당"",""보수"",""우파"",""민주주의""],""context_bridge"":""The video presents a narrative that the arrest of a Korean political figure upon entering the U.S. was not a routine immigration matter but rather a politically motivated action tied to alleged corruption and national‑security violations. It cites evidence (e.g., documents, statements) suggesting that the arrest was orchestrated by opposition forces to silence dissent. The comments reflect a polarized political climate: strong support for 배승희 변호사 and 이진숙, calls for accountability against figures like 최민희 and 이재명, and a broader debate over the role of conservative versus progressive forces in Korean politics. The overall tone is highly charged, with supporters expressing fervent patriotism and critics accusing the opposition of abuse of power.}"
SUieMnNYPpE,85,timed out,"{""summary"":""배승희 변호사는 ‘죄명’이라 불리는 이재명 후보가 범죄를 저질렀다고 주장하며, 법적 책임을 촉구한다."",""emotional_tone"":9,""key_entities"":[""배승희 변호사"",""이재명"",""윤석열"",""이재용"",""노총"",""노조"",""삼성""],""context_bridge"":""영상은 이재명 후보의 ‘노란봉투법’과 노동조합 관련 논란을 근거로 ‘죄명’이라 부르는 인물의 범죄 행위를 지적하고, 배승희 변호사를 ‘여전사’로 묘사하며 법적 조치를 촉구한다. 댓글은 배승희를 지지하고 이재명을 비난하는 극단적 정서가 두드러지며, ‘노총·노조·기업’과 ‘윤석열·이재용’ 등 주요 인물·정당을 언급해 정치적 양극화를 반영한다.""}"
EqiRsrTE8bU,115,Unterminated string starting at: line 1 column 359 (char 358),"{""summary"":""The video accuses Kim Hyun‑ji of being a major political threat and alleges that Lee Jae‑myung is complicit, calling for a special investigation and impeachment of Lee."",""emotional_tone"":9,""key_entities"":[""Kim Hyun‑ji"",""Lee Jae‑myung"",""Democratic Party (민주당)"",""통합진보당"",""경기동부연합"",""민족민주혁명당(경기남부위원회)"",""위헌정당"",""옛통진당"",""이석기"",""김정은"",""김정일""],""context_bridge"":""The video presents a narrative that Kim Hyun‑ji is a ‘big bomb’ threatening national security, linking her to Lee Jae‑myung’s political machinery and alleged ties to North Korea. It frames this as a call for a special investigation and impeachment, suggesting that the current administration is corrupt and complicit. The comments reinforce this narrative with intense anger, conspiracy rhetoric, and demands for arrest, while occasionally offering support or praise for the lawyer’s stance. The overall logic is: Kim Hyun‑ji is dangerous → Lee Jae‑myung is complicit → immediate legal action (special investigation, impeachment) is required.}"
-iUoGreYT4Q,191,timed out,"{""summary"":""The video argues that the president’s political decisions are the biggest risk to South Korea’s economy and stock market."",""emotional_tone"":8,""key_entities"":[""윤석열"",""이재명"",""김대중"",""노무현"",""박정희"",""국민의힘"",""더불어민주당""],""context_bridge"":""The video presents a logical chain that links political instability—especially the actions and policies of the current president—to negative outcomes for the economy and the stock market. It cites recent market performance, compares it with past administrations, and highlights the influence of political parties and chaebols. By showing how political risk can outweigh other economic factors, the video concludes that stable governance is essential for attracting foreign investment and sustaining market confidence.""}"
Je042JvGPJY,194,timed out,"{""summary"":""영상은 유시민의 ‘알릴레오’ 프로그램이 마무리되었음을 알리며, 시청자들이 그가 다시 돌아오길 기대하고 감사의 마음을 전하는 내용을 담고 있다."",""emotional_tone"":8,""key_entities"":[""유시민"",""조국"",""문재인"",""노무현"",""사람사는세상노무현재단"",""RohMoohyunFoundation"",""알리뷰"",""알릴레오"",""조수진 변호사""],""context_bridge"":""영상은 유시민이 진행한 ‘알릴레오’ 프로그램의 종료를 알리면서, 시청자들이 그가 정치적 논평과 사회적 메시지를 전달해온 인물임을 강조한다. 댓글에서는 유시민에 대한 깊은 존경과 감사, 그리고 시즌3 재개를 기대하는 정서가 두드러지며, 이는 유시민이 과거 법무장관·정치인으로서의 역할과 ‘민주주의’·‘문재인’·‘노무현’ 등 다른 정치 인물과의 연관성을 통해 정치적 맥락을 형성한다. 전체적으로 감정은 지지와 기대가 강하며, 비판이나 조롱은 거의 없고, 시청자들의 정서적 연결이 중심이다.""}"
U48Nuid4vEI,213,timed out,"{""summary"":""쿠팡 데이터 유출 사건은 이익이 아니라 정치적 보복을 목적으로 한 것으로 보이며, 중국인 개발자와 외국 기업이 연루돼 한국 정부와 기업에 대한 신뢰를 흔들었다."",""emotional_tone"":9,""key_entities"":[""쿠팡"",""알리테무"",""중국인 개발자"",""한국 정부"",""국회보좌관"",""김현정"",""김범석"",""이정권"",""민주노총"",""중공당"",""미국"",""한국 고등학생""],""context_bridge"":""영상은 쿠팡 유출 사건을 ‘돈이 아닌 보복’으로 해석하며, 중국인 개발자와 외국 기업(알리테무 등)의 개입을 암시한다. 이를 통해 한국 개인정보가 외부에 노출된 위험과 정부·기업의 보안 부실을 비판하고, 국가 안보와 개인 데이터 보호의 필요성을 강조한다. 댓글에서는 중국에 대한 불신, 정부와 기업에 대한 불만, 그리고 ‘중국 간첩’이라는 정치적 정서를 드러내며, 이 사건을 이용한 정치적 갈등과 사회적 분열이 가시화된다.""}"
zYmfEuA143c,244,timed out,"{""summary"":""The CBS news show condemns the rejection of the 1‑person‑1‑vote system and calls for the dismissal of Representative Jung Cheong‑rae, citing support from Ye Seon‑woong, Song Young‑hoon and Choi Byung‑cheon."",""emotional_tone"":8,""key_entities"":[""Kim Hyun‑jung"",""Jung Cheong‑rae"",""Ye Seon‑woong"",""Song Young‑hoon"",""Choi Byung‑cheon"",""Kim Ji‑ho"",""Yoon Han‑hong"",""Park Jae‑hong"",""Democratic Party (민주당)""],""context_bridge"":""The video frames the 1‑person‑1‑vote proposal as a political failure and urges the removal of Jung Cheong‑rae, framing it as a collective stance supported by Ye Seon‑woong, Song Young‑hoon, and Choi Byung‑cheon. The comments reveal a polarized audience: strong anger toward Choi Byung‑cheon, admiration for Song Young‑hoon, accusations of fake news, and calls for a more balanced panel. The overall emotional tone is highly charged, with frequent sarcasm and frustration, reflecting a broader distrust of political actors and media practices.""}"
1cobL5oVD4s,268,timed out,"{""summary"":""Han Dong‑hoon should be appointed Vice Chairman of the National Assembly to lead the party to victory in the upcoming elections."",""emotional_tone"":9,""key_entities"":[""Han Dong‑hoon"",""Kim Moon‑soo"",""Kim Ki‑hyun"",""Yoon Seok‑ryeol"",""Won Hee‑ryong"",""Shin Hye‑sik"",""Hong Jun‑pyo"",""Kim Jong‑in"",""People’s Power Party"",""Democratic Party"",""New Party""],""context_bridge"":""The video argues that appointing Han Dong‑hoon as Vice Chairman of the National Assembly will strengthen the party’s leadership, unify its factions, and secure electoral success. It emphasizes his experience, integrity, and strategic vision, claiming that his role will bring stability and decisive action. The comments echo this narrative, offering enthusiastic support, urging unity, and praising Han’s capabilities while referencing other political figures and parties to reinforce the message of collective victory.""}"
xvIznyWmZeE,302,timed out,"{""summary"":""영상은 문재인 대통령이 이재명에게 항복했다는 주장을 통해 정치적 권력 이동을 암시한다."",""emotional_tone"":9,""key_entities"":[""문재인"",""이재명"",""홍준표"",""박정희"",""조국"",""이낙연"",""신혜식"",""신대표"",""신평"",""김혜꼉"",""장경동"",""민주당"",""국민의힘"",""자유통일당"",""비례대표""],""context_bridge"":""영상은 ‘문재인, 이재명에 항복’이라는 충격적인 주장을 통해 현재 정치권의 균형이 바뀌고 있음을 암시한다. 이 주장은 보수층과 진보층 사이의 갈등을 부각시키며, 댓글에서는 박정희 동상 세우기, 홍준표 지지, 조국·이재명 비판 등 극단적 의견이 폭발적으로 나타난다. 감정적 휘발성은 분노와 지지, 조롱이 뒤섞인 형태로, 보수적 시각이 강하게 드러나며, 비판적 시각은 주로 진보 인물에 대한 공격으로 나타난다. 이러한 논리 구조는 ‘항복 주장 → 정치적 파장 논의 → 극단적 요구(동상, 구속 등)’ 순으로 전개된다.""}"
